subject_type,member_of,name,altnames,inverse_name,object_type,object_cardinality,relation_type_scope,subject_scope,object_scope,is_reflexive,is_symmetric,is_transitive
"[""Person""]","[""Binary""]",person_belongs_to_country,Country;Person,country_of_person,"[""Country""]",1,[],[],[],False,False,False
"[""College"", ""University""]","[""Binary""]",organization_belongs_to_country,Country;Organisation/Institute,country_of_organization,"[""Country""]",1,[],[],[],False,False,False
"[""Person""]","[""Binary""]",person_belongs_to_state,State;Person,state_of_person,"[""State""]",1,[],[],[],False,False,False
"[""College"", ""University""]","[""Binary""]",organization_belongs_to_state,State;Organisation/Institute,state_of_organization,"[""State""]",1,[],[],[],False,False,False
"[""Person""]","[""Binary""]",person_belongs_to_district,District;Person,district_of_person,"[""District""]",1,[],[],[],False,False,False
"[""College"", ""University""]","[""Binary""]",organization_belongs_to_district,District;Organisation/Institute,district_of_organization,"[""District""]",1,[],[],[],False,False,False
"[""Student""]","[""Binary""]",student_belongs_to_college,College ( Graduation );Student,college_of_student,"[""College""]",1,[],[],[],False,False,False
"[""Student""]","[""Binary""]",student_belongs_to_university,University;Student,university_of_student,"[""University""]",1,[],[],[],False,False,False
"[""Person""]","[""Binary""]",contact_person,College(s);Contact Person(s),has_contact_person,"[""College""]",100,[],[],[],False,False,False
"[""Faculty Coordinator""]","[""Binary""]",faculty_incharge_of_university,University;Faculty Coordinator(s),has_faculty_incharge,"[""University""]",100,[],[],[],False,False,False
"[""Faculty Coordinator""]","[""Binary""]",faculty_incharge_of_college,College(s);Faculty Coordinator(s),has_faculty_incharge,"[""College""]",100,[],[],[],False,False,False
"[""Program Officer""]","[""Binary""]",officer_incharge_of,College(s);Program Officer(s),has_officer_incharge,"[""College""]",100,[],[],[],False,False,False
"[""NSS Coordinator""]","[""Binary""]",nss_coordinator_of,College;NSS Coordinator,has_nss_coordinator,"[""College""]",1,[],[],[],False,False,False
"[""University""]","[""Binary""]",affiliated_college,Affiliated Colleges;Affiliated to,college_affiliated_to,"[""College""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",event_organised_by,Organised by;Event(s),organiser_of_event,"[""College"", ""University""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",event_coordinator,Coordinator(s);Event(s),coordinator_of_event,"[""Person"", ""Author""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",event_has_participants,Participant(s)/Attende(es);Event(s),participated_in_event,"[""Person"", ""Author""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",has_attended,Attended;Event,attended_event,"[""Person"", ""Author""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",has_attendees,Attendees;Event,attende_event,"[""Person"", ""Author""]",100,[],[],[],False,False,False
"[""Event""]","[""Binary""]",session_of,Session of;Classroom Session Event,has_classroom_session,"[""CourseSubSection""]",1,[],[],[],False,False,False
"[""NUSSD Course""]","[""Binary""]",course_has_event,Event(s);Course(s),event_of_course,"[""Event""]",100,[],[],[],False,False,False
"[""Announced Course""]","[""Binary""]",announced_for,Course;Announced Course,announced_as,"[""NUSSD Course"",""Course""]",1,[],[],[],False,False,False
"[""Announced Course""]","[""Binary""]",acourse_for_college,College;Announced Course,college_has_acourse,"[""College"",""Group"",""Author""]",1,[],[],[],False,False,False
"[""Student""]","[""Binary""]",student_of_caste_category,Caste;Student,caste_category_of_student,"[""Caste""]",1,[],[],[],False,False,False
"[""Student""]","[""Binary""]",student_has_domicile,State/Union Territory of Domicile;Student,domicile_of_student,"[""State""]",1,[],[],[],False,False,False
"[""Student""]","[""Binary""]",selected_course,Enrolled in Course(s);Student(s),course_selected,"[""Announced Course""]",100,[],[],[],False,False,False
"[""Voluntary Teacher""]","[""Binary""]",trainer_of_course,Volunteer to teach Course;Volunteered by,course_has_trainer,"[""NUSSD Course""]",100,[],[],[],False,False,False
"[""Voluntary Teacher""]","[""Binary""]",trainer_of_college,Volunteer to teach College;Volunteered by,college_has_trainer,"[""College""]",100,[],[],[],False,False,False
"[""Voluntary Teacher""]","[""Triadic""]",trainer_teaches_course_in_college,Volunteer to teach Course in College;Volunteered by,course_in_college_taught_by,"[[""NUSSD Course""], [""College""]]",100,[],[],[],False,False,False
"[""Master Trainer""]","[""Binary""]",master_trainer_of_course,Volunteer to teach Course(s) [At max. 2];Master Trainer,course_has_master_trainer,"[""NUSSD Course""]",100,[],[],[],False,False,False
"[""Master Trainer""]","[""Binary""]",master_trainer_of_university,University;Master Trainer,university_has_master_trainer,"[""University""]",100,[],[],[],False,False,False
"[""Course Developer""]","[""Binary""]",developer_of_course,Volunteer to develop Course;Developed by,course_has_developer,"[""NUSSD Course""]",100,[],[],[],False,False,False
"[""District""]","[""Binary""]",district_of,State;District(s),has_district,"[""State""]",1,[],[],[],False,False,False
"[""College""]","[""Binary""]",has_group,Group;Group for,group_of,"[""Group""]",1,[],[],[],False,False,False
"[""Person""]","[""Binary""]",has_login,Login link;Login for,login_of,"[""Author""]",1,[],[],[],False,False,False
"[""Group""]","[""Binary""]",group_has_batch,Group;Batch,batch_in_group,"[""Batch""]",100,[],[],[],False,False,False
"[""Batch""]","[""Binary""]",has_batch_member,Batch;Member(s),batch_member_of,"[""Student""]",100,[],[],[],False,False,False
"[""Batch""]","[""Binary""]",has_course,Batch Course,course_of,"[""Announced Course""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_acourse,Course;Enrollment,course_has_enrollment,"[""Announced Course""]",100,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_college,College;Enrollment,college_has_enrollment,"[""College""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_university,University;Enrollment,university_has_enrollment,"[""University""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment"",""Page"",""File""]","[""Binary""]",has_current_approval_task,Approval Task;Enrollment,task_for_enrollment_approval,"[""Task""]",1,[],[],[],False,False,False
"[""Event""]","[""Binary""]",event_has_batch,Batch;Event,batch_for_event,"[""Batch""]",1,[],[],[],False,False,False
"[""CourseEventGroup""]","[""Binary""]",group_has_course_event,CourseEventGroup;Course,course_event_for_group,"[""Course""]",1,[],[],[],False,False,False
"[""Course"",""BaseCourseGroup"",""Group"",""ProgramEventGroup"",""PartnerGroup""]","[""Binary""]",has_logo,Course;File,logo_of,"[""File""]",1,[],[],[],False,False,False
"[""QuizItemEvent"",""Page"",""File""]","[""Binary""]",clone_of,QuizItemEvent;QuizItem,has_clone,"[""QuizItem"",""Page"",""File""]",1,[],[],[],False,False,False
"[""QuizItem"",""QuizItemEvent"",""Page"",""File"",""Forum"",""Jsmol"", ""TurtleBlocks"", ""PoliceSquad"", ""OpenStoryTool"", ""BioMechanics"", ""Asset""]","[""Binary""]",has_thread,QuizItemEvent;Twist,thread_of,"[""Twist""]",100,[],[],[],False,False,False
"[""Asset""]","[""Binary""]",has_assetcontent,AssetContent,assetcontent_of,"[""QuizItem"",""Page"",""File""]",100,"[""alt_size"",""alt_format"",""alt_language""]","[""any"",""most"",""some"",""none"",""atmost""]",[],False,False,False
"[""File""]","[""Binary""]",has_subtitle,File;File,subtitle_of,"[""File""]",100,"[""alt_language""]",[],[],False,False,False
"[""File""]","[""Binary""]",has_transcript,File;File,transcript_of,"[""File""]",1,[],[],[],False,False,False
"[""Page"",""File""]","[""Binary""]",has_alt_content,File;File,alt_content_of,"[""Page"",""File""]",100,"[""alt_size"",""alt_format"",""alt_language""]","[""any"",""most"",""some"",""none"",""atmost""]",[],False,False,False
